rnti,id,frame,slot,pci,timestamp,dlBytes,dlMcs,dlBler,ulBytes,ulMcs,ulBler,ri,pmi,phr,pcmax,rsrq,sinr,rsrp,rssi,cqi,pucchSnr,puschSnr
cc63,12345678,867,16,0,1691396647937,31464322,5,1e-06,47500358,9,0.02509,2,"(0,1)",48,22,-10.5,23.5,-99,101.9,14,18,32.5
cc63,12345678,967,15,0,1691396648937,31467265,5,0,47503065,9,0.009721,2,"(0,0)",52,22,-10.5,23.5,-92,96.4,15,24,27.5
cc63,12345678,43,15,0,1691396649937,31528607,7,0,47531247,11,0.003766,2,"(0,0)",40,22,-10.5,23.5,-95,98,14,21,30.5
cc63,12345678,143,14,0,1691396650937,31564712,7,0,47548985,11,0.001621,2,"(0,1)",50,22,-10.5,23.5,-94,95,15,20,26.5
cc63,12345678,243,13,0,1691396651937,31608529,7,0,47568184,11,0.000775,2,"(0,1)",56,22,-10.5,23.5,-95,92.9,15,16,26.5
cc63,12345678,343,13,0,1691396652937,31707774,11,0,47585956,12,0.000334,2,"(0,0)",54,22,-10.5,23.5,-87,93.7,15,17,38
cc63,12345678,443,12,0,1691396653937,31832496,9,0,47595623,10,0.000129,2,"(0,1)",50,22,-10.5,23.5,-87,95.5,15,17,28
cc63,12345678,543,12,0,1691396654937,31916305,9,0.027,47599572,9,0.022556,2,"(0,0)",48,22,-10.5,23.5,-89,100.1,15,21,43
cc63,12345678,643,12,0,1691396655937,31926289,9,0.009414,47602408,9,0.008739,2,"(0,0)",48,22,-10.5,23.5,-88,97.7,15,21,33
cc63,12345678,743,11,0,1691396656937,31939209,9,0.003283,47610390,9,0.003385,2,"(0,1)",56,22,-10.5,23.5,-88,89,15,19,28
cc63,12345678,843,11,0,1691396657937,35966467,18,0.001145,47672828,13,0.001312,2,"(0,0)",56,22,-10.5,23.5,-87,99.9,15,18,34.5
cc63,12345678,943,10,0,1691396658937,42454028,25,0.038596,47740741,15,0.000508,2,"(0,1)",57,22,-10.5,23.5,-83,96.7,14,21,32.5
cc63,12345678,19,10,0,1691396659937,48907854,27,0.023021,47902662,22,0.006738,2,"(0,1)",64,19,-10.5,23.5,-86,97.4,15,17,33
cc63,12345678,119,10,0,1691396660937,55345738,27,0.098609,47956093,23,0.106569,2,"(0,1)",58,22,-10.5,23.5,-85,94.4,15,18,30
cc63,12345678,219,9,0,1691396661937,62521309,27,0.143195,48011938,22,0.085173,2,"(0,0)",58,22,-10.5,23.5,-86,99.6,15,21,35
cc63,12345678,319,8,0,1691396662937,69391332,26,0.096994,48095929,22,0.090129,2,"(0,1)",60,19,-10.5,23.5,-86,95.5,15,19,32
cc63,12345678,419,8,0,1691396663937,76478338,17,0.054337,48275339,22,0.090885,2,"(0,0)",59,19,-10.5,23.5,-85,97.7,10,18,36
cc63,12345678,519,7,0,1691396664937,83679958,23,0.018946,48377739,22,0.049088,2,"(0,1)",60,19,-10.5,23.5,-85,97.7,13,21,33
cc63,12345678,619,7,0,1691396665937,91018422,26,0.006606,48623639,22,0.055303,2,"(0,1)",58,22,-10.5,23.5,-87,86,15,20,24.5
cc63,12345678,719,7,0,1691396666937,98424004,27,0.071146,48771224,23,0.060958,2,"(0,0)",58,19,-10.5,23.5,-85,100.4,15,19,36.5
cc63,12345678,819,7,0,1691396667937,105042707,27,0.094038,48989277,23,0.068359,2,"(0,0)",64,19,-10.5,23.5,-87,96,15,19,32
cc63,12345678,919,6,0,1691396668937,111996748,26,0.145427,49208884,23,0.062882,2,"(0,0)",61,19,-10.5,23.5,-86,99.2,15,20,35
cc63,12345678,1019,6,0,1691396669937,115307127,22,0.050707,49334297,20,0.057273,2,"(0,0)",52,22,-10.5,23.5,-84,95,15,21,31.5
cc63,12345678,95,5,0,1691396670937,115315687,12,0.017681,49336447,10,0.10097,2,"(0,1)",54,22,-10.5,23.5,-87,92,15,21,29.5
cc63,12345678,195,5,0,1691396671937,115383627,14,0.006165,50506925,13,0.039118,2,"(0,0)",52,22,-10.5,23.5,-88,94.4,15,19,32
cc63,12345678,295,3,0,1691396672937,115643351,24,0.004359,55639273,22,0.053546,2,"(0,0)",61,19,-10.5,23.5,-92,90.7,15,24,29.5
cc63,12345678,395,3,0,1691396673937,116003503,27,0.007548,60347319,21,0.12297,2,"(0,0)",63,19,-10.5,23.5,-89,94.4,15,22,29.5
cc63,12345678,495,3,0,1691396674937,116363230,27,0.002632,64728806,21,0.091812,2,"(0,0)",66,19,-10.5,23.5,-85,100.6,15,23,35
cc63,12345678,595,3,0,1691396675937,116702141,27,0.000918,68764196,21,0.102716,2,"(0,1)",62,19,-10.5,23.5,-84,95,15,23,30.5
cc63,12345678,695,3,0,1691396676937,117036476,27,0.00032,72860929,21,0.073478,2,"(0,0)",64,19,-10.5,23.5,-84,96.4,15,19,32
cc63,12345678,795,3,0,1691396677937,117385058,27,0.005512,76946597,21,0.057418,2,"(0,0)",63,19,-10.5,23.5,-85,96,15,19,28.5
cc63,12345678,895,2,0,1691396678937,117739394,27,0.001922,81291613,21,0.056826,2,"(0,0)",65,19,-10.5,23.5,-85,95,15,23,28
cc63,12345678,995,2,0,1691396679937,118087514,27,0.00067,85437832,22,0.090717,2,"(0,0)",66,19,-10.5,23.5,-84,95,15,24,30.5
cc63,12345678,71,2,0,1691396680937,118443423,27,0.003593,89632080,19,0.150286,2,"(0,0)",69,22,-10.5,23.5,-83,92.9,15,19,28
cc63,12345678,171,2,0,1691396681937,118783955,27,0.012695,93964819,19,0.078911,2,"(0,0)",59,22,-10.5,23.5,-83,96.4,15,21,30.5
cc63,12345678,271,1,0,1691396682937,119046693,26,0.005762,94018211,20,0.03318,2,"(0,1)",58,22,-10.5,23.5,-88,84.8,15,19,18
cc63,12345678,371,1,0,1691396683937,119098393,21,0.002009,94055222,18,0.058203,2,"(0,0)",56,22,-10.5,23.5,-88,104.5,15,21,37
cc63,12345678,471,0,0,1691396684937,119170313,17,0.000701,94068453,16,0.022549,2,"(0,1)",54,22,-10.5,23.5,-85,101.6,15,27,37
cc63,12345678,571,0,0,1691396685937,119229095,14,0.000244,94076129,13,0.009707,2,"(0,1)",56,22,-10.5,23.5,-86,93.7,15,21,29.5
cc63,12345678,671,0,0,1691396686937,119236786,9,8.5e-05,94079129,9,0.003385,2,"(0,0)",48,22,-10.5,23.5,-92,100.3,15,20,30
cc63,12345678,771,0,0,1691396687937,119241561,9,3e-05,94081038,9,0.001311,2,"(0,1)",48,22,-10.5,23.5,-99,93.7,13,19,26.5
cc63,12345678,870,19,0,1691396688937,119249395,9,1e-05,94084306,9,0.000508,2,"(0,1)",39,22,-10.5,23.5,-101,90.7,12,21,29.5
cc63,12345678,970,18,0,1691396689937,119255698,9,0.014766,94086540,9,0.000197,2,"(0,1)",35,22,-10.5,23.5,-102,101,12,29,34
cc63,12345678,46,18,0,1691396690937,119260441,9,0.005149,94088626,9,6.9e-05,2,"(0,0)",34,22,-10.5,20.5,-105,101.6,11,24,31.5
cc63,12345678,146,18,0,1691396691937,119265216,9,0.001795,94090744,9,2.4e-05,2,"(0,0)",40,22,-11,18,-107,89,12,16,27
cc63,12345678,246,17,0,1691396692937,119269991,9,0.000626,94092637,9,9e-06,2,"(0,1)",39,22,-11,18,-107,90.7,11,10,22.5
cc63,12345678,346,17,0,1691396693937,119274734,9,0.000218,94094739,9,3e-06,2,"(0,1)",36,22,-11,19.5,-106,103.3,10,21,27.5
cc63,12345678,446,17,0,1691396694937,119279040,9,7.6e-05,94096841,9,1e-06,2,"(0,1)",33,22,-11,18,-106,104.1,10,29,36
cc63,12345678,546,17,0,1691396695937,119283815,9,2.7e-05,94098943,9,0,2,"(0,1)",36,22,-11,18,-107,97.7,9,20,27.5
cc63,12345678,646,16,0,1691396696937,119300849,9,9e-06,94110305,9,0,2,"(0,1)",30,22,-11,18,-107,94.4,9,21,31
cc63,12345678,746,16,0,1691396697937,119399471,12,3e-06,94138027,10,0,2,"(0,1)",28,22,-11,17,-108,104,9,21,35.5
