rnti,id,frame,slot,pci,timestamp,dlBytes,dlMcs,dlBler,ulBytes,ulMcs,ulBler,ri,pmi,phr,pcmax,rsrp,rssi,cqi,pucchSnr,puschSnr
b075,12345678,94,17,0,1689147513740,1404386,9,0,1110854,9,0,1,"(0,0)",56,23,-81,92.9,15,18,30.5
b075,12345678,194,17,0,1689147514740,1406540,9,0,1112864,9,0,1,"(0,0)",58,23,-81,86,15,19,27.5
b075,12345678,294,17,0,1689147515740,1408911,9,0,1114773,9,0,1,"(0,0)",58,23,-81,89,15,20,29
b075,12345678,394,17,0,1689147516740,1411282,9,0,1116859,9,0,1,"(0,0)",58,23,-80,100.1,15,21,29.5
b075,12345678,494,17,0,1689147517740,1413420,9,0,1118977,9,0,1,"(0,0)",58,23,-81,89,15,19,27.5
b075,12345678,594,17,0,1689147518740,1415791,9,0,1121063,9,0,1,"(0,0)",58,23,-81,100.1,15,18,29.5
b075,12345678,694,17,0,1689147519740,1418162,9,0,1123181,9,0,1,"(0,0)",58,23,-81,90.7,15,19,30
b075,12345678,794,17,0,1689147520740,1420533,9,0,1125074,9,0,1,"(0,0)",58,23,-81,92,15,20,29.5
b075,12345678,894,17,0,1689147521740,1422888,9,0,1127176,9,0,1,"(0,0)",58,23,-81,100.7,15,20,29.5
b075,12345678,994,17,0,1689147522740,1425042,9,0,1129278,9,0,1,"(0,0)",58,23,-81,90.7,15,19,28.5
b075,12345678,70,17,0,1689147523740,1427413,9,0,1131380,9,0,1,"(0,0)",58,23,-81,101.1,15,20,29
b075,12345678,170,17,0,1689147524740,1429784,9,0,1133482,9,0,1,"(0,0)",58,23,-81,90.7,15,19,30.5
b075,12345678,270,17,0,1689147525740,1432123,9,0,1135391,9,0,1,"(0,0)",58,23,-81,92,15,20,30
b075,12345678,370,17,0,1689147526740,1434494,9,0,1137477,9,0,1,"(0,0)",58,23,-82,101,15,21,29.5
b075,12345678,470,17,0,1689147527740,1436648,9,0,1139595,9,0,1,"(0,0)",58,23,-81,90.7,15,19,28.5
b075,12345678,570,17,0,1689147528740,1439019,9,0,1141681,9,0,1,"(0,0)",58,23,-81,100.9,15,20,29.5
b075,12345678,670,17,0,1689147529740,1441374,9,0,1143799,9,0,1,"(0,0)",58,23,-81,90.7,15,19,29
b075,12345678,770,17,0,1689147530740,1443745,9,0,1145692,9,0,1,"(0,0)",58,23,-81,90.7,15,20,30.5
b075,12345678,870,17,0,1689147531740,1446116,9,0,1147794,9,0,1,"(0,0)",58,23,-81,100.7,15,20,29.5
b075,12345678,970,17,0,1689147532740,1448270,9,0,1149896,9,0,1,"(0,0)",58,23,-81,90.7,15,21,29
b075,12345678,46,17,0,1689147533740,1450609,9,0,1151998,9,0,1,"(0,0)",58,23,-81,100.3,15,20,28.5
b075,12345678,146,17,0,1689147534740,1452980,9,0,1154100,9,0,1,"(0,0)",58,23,-81,90.7,15,20,29.5
b075,12345678,246,17,0,1689147535740,1455351,9,0,1156009,9,0,1,"(0,0)",58,23,-81,92,15,20,30.5
b075,12345678,346,17,0,1689147536740,1457722,9,0,1158095,9,0,1,"(0,0)",58,23,-80,101.1,15,20,29
b075,12345678,446,17,0,1689147537740,1459860,9,0,1160213,9,0,1,"(0,0)",58,23,-80,90.7,15,22,30
b075,12345678,546,17,0,1689147538740,1462231,9,0,1162299,9,0,1,"(0,0)",58,23,-80,101,15,22,28.5
b075,12345678,646,17,0,1689147539740,1464602,9,0,1164417,9,0,1,"(0,0)",58,23,-80,90.7,15,21,30.5
b075,12345678,746,17,0,1689147540740,1466973,9,0,1166310,9,0,1,"(0,0)",58,23,-81,90.7,15,20,29
b075,12345678,846,17,0,1689147541740,1469312,9,0,1168412,9,0,1,"(0,0)",58,23,-81,101.7,15,22,28.5
b075,12345678,946,17,0,1689147542740,1471466,9,0,1170514,9,0,1,"(0,0)",58,23,-81,92,15,21,30.5
b075,12345678,22,17,0,1689147543740,1473837,9,0,1172616,9,0,1,"(0,0)",58,23,-81,102.2,15,21,28.5
b075,12345678,122,17,0,1689147544740,1476208,9,0,1174718,9,0,1,"(0,0)",58,23,-81,90.7,15,20,30.5
b075,12345678,222,17,0,1689147545740,1478563,9,0,1176627,9,0,1,"(0,0)",58,23,-81,92.9,15,21,32.5
b075,12345678,322,17,0,1689147546740,1480934,9,0,1178713,9,0,1,"(0,0)",56,23,-81,102,15,21,28.5
b075,12345678,422,17,0,1689147547740,1483088,9,0,1180831,9,0,1,"(0,0)",56,23,-82,92,15,22,30.5
b075,12345678,522,17,0,1689147548740,1485459,9,0,1182917,9,0,1,"(0,0)",58,23,-82,100.3,15,20,28
b075,12345678,622,17,0,1689147549740,1487798,9,0,1185035,9,0,1,"(0,0)",58,23,-80,89,15,21,27
b075,12345678,722,17,0,1689147550740,1490169,9,0,1186928,9,0,1,"(0,0)",58,23,-80,90.7,15,20,29.5
b075,12345678,822,17,0,1689147551740,1492540,9,0,1189030,9,0,1,"(0,0)",58,23,-80,100.1,15,21,27.5
b075,12345678,922,17,0,1689147552740,1494694,9,0,1191132,9,0,1,"(0,0)",58,23,-80,90.7,15,21,29
b075,12345678,1022,17,0,1689147553740,1497049,9,0,1193234,9,0,1,"(0,0)",58,23,-80,101.1,15,21,27.5
b075,12345678,98,17,0,1689147554740,1499420,9,0,1195336,9,0,1,"(0,0)",58,23,-80,89,15,20,27.5
b075,12345678,198,17,0,1689147555740,1501791,9,0,1197245,9,0,1,"(0,0)",58,23,-80,90.7,15,21,29.5
b075,12345678,298,17,0,1689147556740,1504162,9,0,1199331,9,0,1,"(0,0)",58,23,-80,101.3,15,21,29
b075,12345678,398,17,0,1689147557740,1506300,9,0,1201449,9,0,1,"(0,0)",58,23,-80,90.7,15,21,29.5
b075,12345678,498,17,0,1689147558740,1508671,9,0,1203535,9,0,1,"(0,0)",58,23,-80,100.6,15,20,28
b075,12345678,598,17,0,1689147559740,1511042,9,0,1205653,9,0,1,"(0,0)",58,23,-80,90.7,15,21,29.5
b075,12345678,698,17,0,1689147560740,1513413,9,0,1207546,9,0,1,"(0,0)",56,23,-80,92.9,15,21,31
b075,12345678,798,17,0,1689147561740,1515768,9,0,1209648,9,0,1,"(0,0)",56,23,-80,92,15,21,29.5
