rnti,id,frame,slot,pci,timestamp,dlBytes,dlMcs,dlBler,ulBytes,ulMcs,ulBler,ri,pmi,phr,pcmax,rsrq,sinr,rsrp,rssi,cqi,pucchSnr,puschSnr
0807,12345678,75,11,0,1690288876789,453208046,2,0,116454452,9,0,2,"(0,1)",58,22,-10.5,23.5,-79,86,15,19,28
0807,12345678,175,11,0,1690288877789,453209257,2,0,116456538,9,0,2,"(0,1)",58,22,-10.5,23.5,-79,98.3,15,20,26.5
0807,12345678,275,11,0,1690288878789,453210357,2,0,116458656,9,0,2,"(0,1)",58,22,-10.5,23.5,-79,86,15,20,29.5
0807,12345678,375,11,0,1690288879789,453211568,2,0,116460549,9,0,2,"(0,1)",56,22,-10.5,23.5,-79,89,15,20,30.5
0807,12345678,475,11,0,1690288880789,453212769,2,0,116462651,9,0,2,"(0,1)",54,22,-10.5,23.5,-79,96.4,15,20,43
0807,12345678,575,11,0,1690288881789,453213980,2,0,116464753,9,0,2,"(0,1)",56,22,-10.5,23.5,-79,89,15,20,30
0807,12345678,675,11,0,1690288882789,453215181,2,0,116466855,9,0,2,"(0,1)",56,22,-10.5,23.5,-79,95,15,20,41
0807,12345678,775,11,0,1690288883789,453216281,2,0,116468957,9,0,2,"(0,1)",56,22,-10.5,23.5,-79,89,15,19,28.5
0807,12345678,875,11,0,1690288884789,453217371,2,0,116470967,9,0,2,"(0,1)",58,22,-10.5,23.5,-79,89,15,21,30
0807,12345678,975,11,0,1690288885789,453218582,2,0,116472876,9,0,2,"(0,1)",58,22,-10.5,23.5,-79,89,15,21,28.5
0807,12345678,51,11,0,1690288886789,453219793,2,0,116474962,9,0,2,"(0,1)",58,22,-10.5,23.5,-78,99.8,15,21,28.5
0807,12345678,151,11,0,1690288887789,453221004,2,0,116477080,9,0,2,"(0,1)",58,22,-10.5,23.5,-78,86,15,19,28
0807,12345678,251,11,0,1690288888789,453222205,2,0,116479166,9,0,2,"(0,1)",58,22,-10.5,23.5,-77,96.7,15,19,27.5
cc84,12345678,554,8,0,1690288935018,3596,9,0.06561,2454,9,0.059049,2,"(0,0)",46,22,-10.5,23.5,-92,90.7,1,46,31
cc84,12345678,654,8,0,1690288936018,58200,3,0.052124,30693,12,0.025419,2,"(0,1)",49,22,-10.5,23.5,-92,92.9,15,22,32.5
